app_id,game_name,player_count,timestamp,day_of_week,day_name,hour_of_day,date_only
570,Dota 2,644922,2025-09-17 20:02:18.296189+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1132651,2025-09-17 20:02:18.302744+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,64008,2025-09-17 20:02:18.312725+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,39255,2025-09-17 20:02:18.371915+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,5179,2025-09-17 20:02:18.374475+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,64008,2025-09-17 20:07:18.330603+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1132651,2025-09-17 20:07:18.332472+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,644922,2025-09-17 20:07:18.334173+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,5179,2025-09-17 20:07:18.33712+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,39255,2025-09-17 20:07:18.340628+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,645409,2025-09-17 20:12:18.374627+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,39255,2025-09-17 20:12:18.380348+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,5179,2025-09-17 20:12:18.384601+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1094804,2025-09-17 20:12:18.39428+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,64008,2025-09-17 20:12:18.396614+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1094804,2025-09-17 20:17:18.44499+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,645409,2025-09-17 20:17:18.447105+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,60880,2025-09-17 20:17:18.486004+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,38283,2025-09-17 20:17:18.530031+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4937,2025-09-17 20:17:18.565413+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,645566,2025-09-17 20:22:18.474224+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4937,2025-09-17 20:22:18.484905+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,60880,2025-09-17 20:22:18.48578+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1094804,2025-09-17 20:22:18.489406+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,38283,2025-09-17 20:22:18.489735+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,38283,2025-09-17 20:27:18.550911+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1064609,2025-09-17 20:27:18.552657+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4937,2025-09-17 20:27:18.587762+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,645566,2025-09-17 20:27:18.590418+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,59249,2025-09-17 20:27:18.593871+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,37152,2025-09-17 20:32:18.54314+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,645566,2025-09-17 20:32:18.544117+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,59249,2025-09-17 20:32:18.54773+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1064609,2025-09-17 20:32:18.555574+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4675,2025-09-17 20:32:18.631784+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,37152,2025-09-17 20:37:18.597227+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1035991,2025-09-17 20:37:18.599372+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,59249,2025-09-17 20:37:18.602658+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4675,2025-09-17 20:37:18.602999+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,632769,2025-09-17 20:37:18.604103+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,632769,2025-09-17 20:42:18.646511+00,3,Wednesday,20,2025-09-17 00:00:00+00
440,Team Fortress 2,37152,2025-09-17 20:42:18.648946+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4675,2025-09-17 20:42:18.652815+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1035991,2025-09-17 20:42:18.661794+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,55624,2025-09-17 20:42:18.664516+00,3,Wednesday,20,2025-09-17 00:00:00+00
730,Counter-Strike 2,1035991,2025-09-17 20:47:18.700721+00,3,Wednesday,20,2025-09-17 00:00:00+00
570,Dota 2,632769,2025-09-17 20:47:18.705049+00,3,Wednesday,20,2025-09-17 00:00:00+00
1172620,Sea of Thieves,4520,2025-09-17 20:47:18.713081+00,3,Wednesday,20,2025-09-17 00:00:00+00
271590,GTA V,55624,2025-09-17 20:47:18.713986+00,3,Wednesday,20,2025-09-17 00:00:00+00
